Entidade,Quantidade,Tipo
O Espírito,15,MISC
Ave Maria,15,PER
Marte,15,LOC
Simão,14,PER
Mas,14,MISC
Galileia,14,LOC
Senhor Pai Santo,14,PER
Aquele,14,PER
Palavra,14,MISC
Dali,14,PER
Oremos,14,PER
Aquilo,14,PER
Beijo,14,PER
Quantas,14,MISC
"Pai, do Filho e do Espírito Santo",13,MISC
Vinde,13,PER
Ajudados,13,LOC
Logos,13,LOC
Porque,13,MISC
Aleluia Aleluia,13,PER
Nossa,13,PER
Espírito Santo Toda,13,LOC
Deus Pai Todo-Poderoso Receba,13,PER
Santo,13,PER
o Senhor te abençoe,13,MISC
Cantar,13,LOC
O sangue da nova,13,MISC
Dai-nos,13,MISC
jesus,13,PER
Senhor Te,12,PER
Evangelho de João,12,MISC
Sinto,12,LOC
Espírito Santo Amém,12,LOC
santos,12,LOC
Eterna,12,LOC
Diáconos,12,LOC
Deus Demos,12,MISC
Deus de amor,12,MISC
Ó Esposo,12,MISC
És tu Jesus,12,PER
Misericórdia,12,LOC
Mistério da fé,12,LOC
Viva!,12,MISC
Palavra de Deus,12,MISC
Deus Que,12,MISC
Amém Leitura,12,PER
dom,11,LOC
Pão,11,MISC
Jesus Cristo Vosso,11,PER
Evangelho de hoje,11,MISC
São Sebastião Conto,11,PER
Senhor Amém,11,PER
Creio,11,LOC
Sejamos,11,PER
Senhor tem-te,11,LOC
Rosana,11,LOC
Piedade,11,LOC
Jó,11,PER
Olhai,11,LOC
Tu,11,PER
Santificai,11,PER
Ressurgiremos,11,LOC
Cruz,11,LOC
Verbum,11,PER
Senhor,11,MISC
Deus Pai Todo-Poderoso,11,MISC
Marcos Glória,11,PER
Senhor Santo,11,LOC
Perdoe,11,MISC
Precisa,10,LOC
Padre James,10,PER
Derrama,10,PER
Faça,10,PER
Semana Santa,10,MISC
memorial da morte,10,LOC
Deus E convosco,10,MISC
Orai,10,PER
Salve,10,LOC
Santificado,10,LOC
Tu,10,LOC
Bendita,10,ORG
Mãe de Deus São José,10,PER
Senhor Jesus Cristo Enviai,10,PER
Senhor Que,10,PER
Todo-Poderoso,10,LOC
Todo-Poderoso,10,PER
Senhor Jesus,10,ORG
Subiu,10,PER
Salmo,10,MISC
Deus Junto a Ele,10,MISC
Adoramos,10,LOC
Teu,10,LOC
Diácono,10,LOC
Senhor Osana,10,LOC
Betânia,10,LOC
o Senhor Jesus,10,MISC
Concedei,10,LOC
Mistério da fé Anunciamos,10,LOC
Senhor Senhor,10,PER
Amém,9,PER
de São Paulo,9,LOC
Te,9,LOC
Deus Porque,9,MISC
Fiquemos,9,PER
Ressuscitou,9,MISC
Louvado,9,LOC
Cordeiro de Deus,9,LOC
Pugatório,9,LOC
Glória ao Pai,9,LOC
Adorar Teu Santo,9,LOC
Queremos,9,MISC
Nossa Senhora,9,PER
o Senhor,9,MISC
Papa,9,PER
Osana Osana,9,LOC
Mãe de Deus,9,PER
Pai Nosso,9,MISC
David,9,PER
Manso,9,PER
Aquilo,9,LOC
Nosso Senhor,9,PER
Alegremos-nos,9,LOC
Mãe,9,PER
Deus?,9,MISC
Padre Anderson,9,PER
Deus Nós,8,MISC
Às,8,MISC
Aonde,8,LOC
Terra,8,LOC
Enviai,8,PER
Senhor Cristo,8,PER
Senhor Naquele,8,PER
Domine,8,LOC
Jesus Santa Maria,8,PER
Criê,8,PER
Lázaro,8,PER
Criador,8,MISC
Ouve,8,PER
Pronunciou,8,MISC
Enfim,8,LOC
Aceitai,8,LOC
Perdoai,8,LOC
Felipe,8,PER
Proclamar,8,MISC
O caminho,8,MISC
Homens,8,PER
Mostrai-me,8,ORG
Quaresma,8,PER
O Cristo,8,MISC
Já,8,MISC
Que,8,PER
Mateus,8,MISC
Marta,8,PER
Graças a Deus Aleluia,8,MISC
Sagrada Escritura,8,MISC
São Sebastião São Sebastião,8,PER
Meu,8,PER
Sacrifício,8,PER
Bendito,8,PER
Espírito Senhor,8,LOC
Tem de piedade,8,MISC
Esposo,8,MISC
Confirmai,8,MISC
Faça,8,ORG
Santa Cruz,8,LOC
Tu és a nossa salvação,8,MISC
São mensageiro,8,LOC
Senhor da vida,8,MISC
O Senhor Jesus,8,MISC
linda,8,PER
Santo Santo,8,LOC
Aceitai,8,PER
Pai de Misericórdia,8,PER
Pelas,8,LOC
Aquela,7,PER
Coloca,7,LOC
Pronunciou,7,PER
Sois Senhor,7,PER
Simão Pedro,7,PER
Nicodemos,7,PER
Prova,7,LOC
Atendei,7,LOC
Agora,7,ORG
Donde Deus,7,MISC
Senhor Jesus Celebrando,7,PER
Milão,7,LOC
Aceita,7,PER
santo,7,LOC
Fazer,7,LOC
Marcos,7,MISC
Meu Deus,7,MISC
Marte da Justiça,7,MISC
Vossa,7,PER
São missageiros,7,LOC
reino de Deus,7,LOC
Minha,7,MISC
Um Deus,7,MISC
Disse,7,PER
Abençoa,7,LOC
E Jesus,7,ORG
E Deus,7,MISC
Deus E,7,MISC
Derramando,7,PER
Pentecostes,7,MISC
Leitura,7,LOC
Ó,7,MISC
Glória,7,PER
André,7,LOC
Somos,7,PER
Ministros,7,MISC
Vão,7,PER
hosanna,7,PER
Santo Agostinho,7,PER
Como,7,MISC
Espírito Santo Nasceu da Virgem Maria Padeceu,7,LOC
Senhor Transwanda,7,LOC
Venham,7,PER
Quero,7,PER
sois santo,7,PER
Vai,7,PER
Senhor Nossa,7,PER
O Pai,7,MISC
Sejam,7,LOC
Tu és Senhor,7,MISC
Senhor Podes,7,PER
Gente,7,LOC
Presença,7,LOC
Nossa Senhora Aparecida,7,LOC
Pra realizar o que o Mestre,7,MISC
Guarda-me,7,PER
Celebrando,7,LOC
Concedei,7,PER
Ti,7,LOC
Espírito Santo Estando,7,LOC
Leitura,7,PER
Traz,6,LOC
Meu Deus,6,PER
Eli,6,PER
Isaías,6,PER
Oh Cristo,6,PER
Resta,6,PER
Abençoai,6,LOC
Marte São Sebastião,6,PER
Deus Jesus,6,PER
Domingo de Ramos,6,MISC
Andarei,6,LOC
Estão,6,LOC
Belém,6,LOC
Primeiro,6,MISC
Acolhei,6,PER
Tantas,6,PER
Por Cristo,6,MISC
Apóstolos,6,LOC
Igreja,6,MISC
Enviar,6,PER
Vosso Filho,6,PER
As flechas,6,MISC
Cantemos ao Senhor Cantemos ao Senhor Que,6,MISC
Plantar,6,PER
Viva São Sebastião,6,PER
Senhor Bendito,6,PER
Aquelas,6,PER
SINGOR MEU ROXEDO MEU,6,ORG
Santa Igreja,6,LOC
Diante do Rei,6,MISC
Espírito,6,ORG
Senhora,6,PER
A Santíssima Virgem Maria,6,MISC
Ó Deus,6,MISC
Deus Todo-Poderoso,6,LOC
Partiu,6,ORG
santo Santo,6,LOC
Fazenda da Esperança,6,LOC
São Sebastião Flechas,6,PER
Meu Santo,6,PER
Tuas,6,LOC
Lenho da Cruz,6,PER
Cantam,6,LOC
Adão,6,PER
Santa Faustina,6,LOC
bom Deus,6,LOC
Pôr,6,ORG
Oh Jesus,6,PER
Cadê,6,PER
André,6,PER
Dom Vital,6,LOC
Nossos,6,LOC
Queridos irmãos,6,MISC
Bendita,6,PER
Pai nosso,6,MISC
Teu Santo,6,PER
José,6,PER
Dai-nos a paz,6,MISC
Que Deus,6,MISC
Vim,5,PER
Anunciamos,5,LOC
Amado,5,PER
santos apóstolos,5,ORG
Viemos,5,LOC
Viverá,5,PER
Jesus Porque,5,PER
Naqueles,5,PER
Benedito Dias de Andrade,5,PER
Deus Todo-Poderoso Pai,5,PER
Vou,5,PER
Vamos,5,PER
Canção Nova,5,ORG
Deixei,5,LOC
De nosso,5,MISC
Alexandre,5,PER
Deus com o Pai e o,5,MISC
Senhor Amém Leitura,5,PER
Guilherme,5,PER
Reconduzi a vós,5,MISC
Desceu,5,PER
Jesus Que,5,PER
Subo,5,PER
Oh Senhor,5,PER
Mestre,5,PER
Ó Cordeiro,5,PER
Páscoa do Senhor,5,LOC
Morte,5,LOC
Filho Por Cristo,5,PER
Senhor Podemos,5,MISC
Deus Que me,5,MISC
Cristo Sejamos,5,PER
Senhor Podemos,5,PER
Jesus Posto,5,PER
Basta,5,MISC
Santíssimo,5,PER
Páscoa,5,LOC
Pai te,5,MISC
Presbíteros,5,MISC
Messias,5,MISC
Apresentemos,5,PER
A igreja,5,ORG
Eucaristia,5,LOC
Aqueles,5,LOC
Cálice,5,ORG
Cristo Senhor,5,PER
vim,5,MISC
Glória a Deus,5,PER
SEJA,5,MISC
Proclamam,5,MISC
Levi,5,PER
Deus como Pai,5,MISC
Senhor Deus do universo,5,PER
Senhor Deus,5,MISC
Então,5,MISC
Padroeiro,5,PER
Renovar,5,LOC
Onde,5,PER
Sede de Deus,5,LOC
Glória ao Pai,5,PER
Adoramos-se,5,LOC
Ali,5,PER
Igreja Matriz Dedicada,5,ORG
Só,5,MISC
Senhor Verdade,5,PER
Barrabás,5,PER
Sou,5,MISC
Pai Que,5,MISC
Trouxe,5,LOC
Novo povo,5,MISC
Ah,5,MISC
Abençoa,5,PER
nova terra,5,LOC
Creio em Deus,5,MISC
Te,5,ORG
João Glória,5,PER
Senhor Porque,5,MISC
Senhor Deus,5,LOC
Parece,5,LOC
Eu tenho,5,MISC
Estenda,5,LOC
Santo és,5,LOC
Santos,5,ORG
Altíssimo Jesus Cristo,5,ORG
Dizendo,5,PER
Jesus Jesus,5,PER
Louvado seja nosso,5,MISC
Perramar,5,PER
O Senhor Deus,5,MISC
Senhor Bendito,5,LOC
Espírito Santo Nasceu da Virgem Maria,5,LOC
Simão,5,LOC
Viva,5,PER
São Raimundo,5,LOC
Tudo,5,LOC
Gênesis,5,MISC
Tu vens trazer a nós,5,MISC
Deus Cristo,5,PER
Saulo,5,PER
Dá-lhe,5,LOC
Unidos,5,LOC
reconhecei,5,PER
Babilônia,5,LOC
Te,4,PER
Doce,4,LOC
Renova-me Senhor Jesus Já,4,MISC
Evangelho,4,LOC
Adriano,4,PER
domino Santos,4,PER
Satanás,4,PER
Transwanda,4,LOC
Posso,4,LOC
Sede,4,LOC
Santos,4,LOC
Podes,4,LOC
Palavra do Senhor Graças a Deus,4,MISC
Quantos,4,MISC
Tu és a minha ajuda,4,MISC
Podes viver em mim,4,MISC
Estende,4,LOC
Padre Alisson,4,PER
Demanece,4,LOC
Dom Vital,4,PER
Serve,4,MISC
Criar,4,PER
Recebe Senhor,4,LOC
Renova-me Senhor Jesus Põe-me,4,MISC
Todos,4,PER
Exaltado,4,LOC
Domingo de Páscoa,4,MISC
Deus tão grande,4,MISC
Filhisteu,4,PER
O Esposo Resucitado,4,MISC
É no Senhor,4,MISC
Toda,4,PER
hosanna Hosanna,4,PER
São Sebastião Rogai,4,PER
O Cordeiro,4,MISC
Nossa oferta,4,PER
frutificará,4,LOC
Cecília,4,LOC
mim Sede,4,LOC
Estamos,4,LOC
Senhor Tu és santo,4,LOC
Ressuscita,4,MISC
Deus Eu,4,PER
Ouvra,4,MISC
piedade Cristo,4,LOC
Porque,4,PER
O verbo,4,MISC
Criei,4,LOC
Santo Evangelho,4,LOC
São missionários,4,LOC
Agua viva!,4,MISC
Matilde Pinto de Carvalho,4,PER
Espírito Santo Estamos,4,LOC
Te acolhemos,4,MISC
Senhor Rosana,4,LOC
Verdade,4,PER
Morrendo,4,MISC
Deus Amém,4,LOC
Abençoar,4,MISC
Renan,4,PER
Falava de amor,4,MISC
Ponte de misericórdia,4,LOC
vanis,4,PER
Colatina,4,LOC
Eu vi o Senhor,4,MISC
Pôncio Pilatos,4,PER
Temos,4,LOC
Queria,4,LOC
E Deus,4,PER
Dele,4,PER
Senhor Senhor Deus,4,MISC
Que o Senhor,4,MISC
Deus Aos,4,PER
Filho Nós,4,PER
Santa Igreja Senhor,4,LOC
Jacó,4,PER
QR Code,4,MISC
Senhor Jesus Cristo Filho,4,PER
Isabel Alves Gonçalves,4,PER
Deus bendito,4,MISC
Dar,4,PER
Antônio Pereira da Silva,4,PER
Emmaus,4,PER
Confiei,4,LOC
Senhor Senhor Deus do universo,4,MISC
Senhor Senhor,4,MISC
Marcelino,4,PER
Vejam,4,LOC
Estevão,4,PER
Cosme e Damião,4,PER
Coríntios Irmãos,4,LOC
Cornelho,4,LOC
Daquilo,4,PER
Receba o Senhor,4,LOC
Coragem,4,LOC
Alguém,4,LOC
Senhor nosso E,4,PER
Estais,4,PER
Cleto,4,PER
Hoje,4,MISC
Viu,4,PER
Santificar,4,MISC
Gordarei,4,PER
Vou,4,ORG
Eis,4,PER
Estamos,4,MISC
Ainda,4,MISC
Cudeiro de Deus,4,PER
Deus do universo,4,MISC
Jesus Manda Teu Espírito,4,PER
Graças a Deus,4,MISC
Santa Fé Católica,4,ORG
Santíssima Trindade,4,MISC
Alcançai-nos de Deus,4,MISC
Força,4,MISC
Estar,4,PER
Jejum,4,ORG
Vai,4,MISC
Dai-me,4,MISC
Jessé,4,PER
Crucificado és forte,4,MISC
Silo,4,PER
Parabéns,4,PER
Vinho,4,ORG
Caifás,4,MISC
Pra,4,PER
Adorar,4,LOC
Deus Santo,4,PER
Pai Quem,4,PER
As coisas,4,MISC
Lovai-a Deus Lovai-a Deus,4,MISC
Muito te ferir,4,MISC
São João,4,PER
Evangelho E,4,MISC
Ser,4,ORG
Quem,4,MISC
Arão,4,PER
Encontra-me,4,ORG
Senhor Pela,4,PER
O corpo,4,MISC
Deus Eterno,4,MISC
Paraná,4,LOC
Oferta,4,PER
Aliás,4,ORG
Deixa-me,4,PER
As,4,MISC
Alimento,4,PER
Deus É,4,MISC
O teu Espírito,4,MISC
Osana,4,PER
Exulta,4,MISC
Ninive,4,LOC
Cruz,4,PER
Ai de nós,4,MISC
O,4,MISC
A cruz,4,MISC
Espírito do Senhor,4,LOC
Do Senhor,4,MISC
Especialmente,4,MISC
Sentados,4,ORG
Vossos apóstolos,4,MISC
Mulher,4,MISC
Aceitai,4,ORG
O Senhor eu cantarei,4,MISC
Nomes,4,PER
Purgatório,4,LOC
Procure,3,ORG
Lázaro,3,LOC
Luiz Manuel do Nascimento,3,PER
Glorioso São Sebastião,3,LOC
Inácio,3,PER
Sustenta,3,PER
Iracema Alves Reis,3,PER
Pronto,3,LOC
Nome,3,PER
Padre Ud,3,PER
Supliquemos ao Senhor Cristo,3,MISC
Eu te apresento a,3,MISC
Diacono,3,ORG
Narbonas,3,LOC
Ava Maria,3,PER
Ilumina,3,LOC
Raquel Batista,3,PER
Rio Jordão,3,LOC
Padre Antos,3,PER
Maria Angélica Félix de Moraes,3,PER
Café,3,ORG
Pai Dai-nos,3,PER
Libraino,3,PER
Lembra-te,3,ORG
Matias,3,PER
Catiane Alves Andrade,3,PER
Valdir Matias,3,PER
Comer,3,PER
Escutai-nos Senhor Para,3,MISC
Ao Senhor,3,MISC
Senhor vos acompanhe,3,MISC
A Igreja,3,ORG
Rituamos,3,LOC
Quero te,3,MISC
Senhor Novo,3,LOC
Ponce Pilatos,3,PER
Senhor Recordai,3,ORG
Porque,3,ORG
Vosco,3,LOC
Claro,3,ORG
Portanto,3,LOC
Tudo,3,MISC
Pérsia,3,LOC
Dom Lauro,3,PER
Ana Lúcia Lima Costa,3,PER
Oh,3,MISC
Europa,3,LOC
Secretaria da Paróquia,3,MISC
Atos dos Apóstolos,3,MISC
Deja,3,MISC
Evangelho de Marcos,3,MISC
Gordeiros de Deus,3,PER
Pai Tem de piedade de nós,3,MISC
Senhor Nós,3,PER
Somos,3,MISC
Senhor teu Deus,3,MISC
Senhor Jesus Cristo vosso Filho,3,PER
Marcelo Rimet,3,PER
Dignai-vos,3,MISC
Deus e Pai,3,MISC
Proclama,3,LOC
Senhor Mistério,3,PER
Palavras,3,PER
Esta,3,PER
Inês,3,PER
Anjos,3,PER
Corte,3,LOC
Lemos,3,LOC
Rei dos Reis,3,PER
Teremos,3,LOC
Daqui,3,LOC
Agnus Dei,3,ORG
Pra,3,MISC
Qual,3,PER
Quinta-feira,3,LOC
Amém Oremos,3,PER
pedimos Escutai,3,MISC
Dizendo Tomai,3,PER
Filho Repletos do Espírito Santo,3,PER
Alegria do Senhor,3,LOC
Rezemos Senhor,3,PER
Deus de bondade,3,MISC
R$,3,MISC
Minhas,3,LOC
Escritura,3,MISC
Deixam-tá,3,PER
Palavra do Senhor Graças a Deus Fiquemos,3,MISC
Pesouro,3,LOC
Tendura,3,LOC
Laudamos-se,3,LOC
Felipe Mota dos Santos,3,PER
Dai,3,ORG
Depois,3,LOC
Fez,3,LOC
Zebedeu,3,PER
Gilmar Lorenzoni,3,PER
Jesus Isso,3,PER
Espírito Santo Concedendo-lhes,3,LOC
Deja,3,LOC
Jesus Eis,3,PER
Caminhávamos,3,LOC
Pra calhar a sua voz,3,MISC
Um Deus,3,PER
Palavra da salvação Glória,3,MISC
Derramado,3,PER
Partido,3,PER
Fui,3,PER
Verdadeiro,3,MISC
Proclamam,3,LOC
Gestos,3,ORG
Ninguém,3,PER
Fique,3,LOC
Judas Iscariotes,3,PER
palmas,3,LOC
Confessará,3,LOC
Nova terra,3,LOC
Vence,3,MISC
Instagram da paróquia,3,MISC
Jeremias,3,PER
Jó,3,MISC
Sim,3,LOC
Deus Louvor,3,PER
Fecha,3,PER
Elas,3,MISC
Santa Missa,3,PER
Senhor Só,3,MISC
Filho Nosso Senhor Jesus Cristo,3,PER
Paroapebas,3,LOC
Será,3,PER
Converter,3,PER
Pecador,3,PER
Lovai-a Deus Lovai-a Deus Lovai-a Deus,3,MISC
Filho Da,3,PER
César,3,PER
Roma,3,LOC
Deus Forte,3,PER
"O Senhor, nosso Deus",3,MISC
Entra,3,LOC
Primeiro,3,LOC
Graças ao Senhor,3,MISC
Deixa,3,LOC
Felizes,3,ORG
Perdão,3,LOC
Ti,3,ORG
Deus Venho,3,PER
Leia Barbosa,3,PER
Bispo,3,LOC
Inácio Barroso Neto,3,PER
Santíssimo Sacramento,3,PER
Católica,3,ORG
União,3,LOC
Padre Adriano,3,PER
Pende,3,ORG
Luzia,3,LOC
Crucificado és justo,3,MISC
Céu,3,LOC
Quais,3,ORG
Deus Imortal,3,MISC
Igreja Santa,3,ORG
Proclamaremos,3,PER
Jesus Eu,3,PER
Bona,3,LOC
Quer,3,MISC
Cristo Jesus,3,PER
Frei Gustavo,3,PER
Nós te adoramos,3,MISC
Santos de Souza,3,PER
Ó Senhor Senhor,3,MISC
Justo Abel,3,PER
Santo Santo Santo,3,LOC
Oh Deus,3,PER
Acolhe,3,PER
Tadeu,3,LOC
Oremos Senhor,3,PER
Vim de Senhor Jesus Celebrando,3,MISC
Santo Antão,3,LOC
Jesus Eles,3,PER
Senhor Santo Santo Santo,3,LOC
Na,3,MISC
Lino,3,LOC
Estavam,3,PER
Jessé de Belém,3,LOC
Os,3,MISC
Encontro,3,LOC
Renuncio,3,PER
Senhor Nós,3,MISC
Então Jesus,3,PER
Mensageiro do Amor,3,MISC
Eu te amo,3,MISC
Sisto,3,LOC
nosso Senhor,3,PER
Pato Patrick,3,LOC
Conceição,3,LOC
Jesus Vejo,3,PER
Às,3,PER
casa de Israel,3,PER
O Pão,3,MISC
Comigo,3,LOC
Meu Senhor,3,PER
Marcos,3,PER
Nada,3,MISC
Deus Rogai,3,PER
são sebastião,3,PER
Eu,3,LOC
E Ele,3,MISC
Aí,3,MISC
Anastácia,3,LOC
Deu,3,PER
Caia,3,LOC
Barnabé,3,LOC
Cephas,3,LOC
Agostinho,3,PER
Deus Pai Todo-Poderoso Donde,3,PER
Toca,3,LOC
mar da Galileia,3,LOC
Polônia,3,LOC
Felipe Bartolomeu,3,PER
Disse Deus a Noé,3,MISC
Oremos,3,LOC
Quaresma,3,MISC
Ferreira Castro,3,PER
O Cordeiro enrolado,3,MISC
Rezemos,3,PER
Hosanna,3,PER
Fazes,3,LOC
Mostrai-me,3,LOC
Misereem,3,PER
Fodoros,3,MISC
Pelos,3,LOC
Feliz,3,LOC
Vim de Senhor,3,MISC
Senhor nosso,3,MISC
Senhor nosso,3,PER
"Pai, do Filho e do Espírito Santo Amém",3,MISC
Jordão,3,LOC
Cantando,3,PER
Mulher,3,PER
Ó Senhor É,3,MISC
Cordeiro de Deus Filho de Deus,3,PER
Gabriel,3,PER
Amém Sentados,3,PER
Gabriela,3,PER
Amém Glória,3,PER
internet,3,MISC
Veja,3,MISC
Maite Valentina,3,PER
Senhor Triste,3,PER
Vem,3,PER
Triste,3,LOC
A igreja,3,MISC
Você,3,MISC
Montes de vida,3,LOC
padre Adriano,3,PER
Cintia Rosane Souza Ferreira,3,PER
És,3,PER
Bartolomeu,3,LOC
Fiz,3,PER
Senhor Céus,3,LOC
pão Essa,3,LOC
Isaac,3,MISC
Vidas,3,LOC
padre Alisson,3,PER
Santo Senhor Deus do Universo,3,LOC
Saciar-nos,3,LOC
Senhor Vem,3,PER
Pensa,3,PER
Anseia,3,PER
Noventa,3,LOC
Volte,3,PER
Ave Maria,3,LOC
Senhor Céus,3,PER
Pará,3,LOC
Meus,3,MISC
Fazermos,3,PER
alegre,3,LOC
Clemente,3,PER
Rezemos Dai-nos,3,PER
Jesus Mas,3,PER
Seguimos,3,PER
Receba,2,LOC
Sou missionário Sou,2,MISC
Por Cristo,2,PER
Eucaristia,2,PER
Frei Pedro,2,PER
Pai Em nome do Filho Em,2,MISC
Diante do Senhor,2,MISC
Leitura,2,MISC
Nelore,2,PER
A segurança,2,MISC
Ao rei vencedor,2,MISC
Família,2,PER
Vergonha,2,LOC
Bispo Vital os Bispos,2,LOC
Soldado de Jesus,2,PER
Recebendo,2,PER
Igreja Lembrai-vos,2,MISC
Senhor Minha,2,PER
A Tua,2,MISC
Louvores,2,LOC
dom de Deus,2,PER
Inibalável,2,LOC
Sabedoria,2,LOC
Alegria,2,LOC
Evangelho de Deus,2,MISC
Padre Fabrício,2,PER
Pátrio do Senhor Mestre da Justiça,2,LOC
Felipe Cavalcanti,2,PER
Receber,2,LOC
Louvemos,2,LOC
Lembra,2,PER
Redentor,2,LOC
Salve o Cristo,2,MISC
padre Patrick,2,PER
atos dos apóstolos,2,MISC
Emerson,2,ORG
Esperança,2,LOC
Domingo do Fé,2,MISC
Rogai,2,PER
Pensamos,2,LOC
Diácono Bernardo,2,PER
Daphne,2,PER
Cresça,2,LOC
Evangelho Ele,2,MISC
Nissan,2,ORG
Primavera,2,LOC
Vá,2,ORG
O Evangelho,2,MISC
O Teu,2,MISC
Farei,2,LOC
Moriá,2,LOC
Chegados,2,LOC
Santo Senhor,2,LOC
Eu te suplico perdão,2,MISC
Colocou,2,LOC
Rei dos Reis Vim,2,PER
"Tu, Belíssimo Esposo",2,MISC
Osana Bendito,2,PER
Fabrício,2,PER
Amor que não rejeita,2,MISC
Tua paz,2,MISC
Por Cristo nosso Senhor Amém,2,LOC
Levanta-te,2,PER
Santificai-nos,2,MISC
Samuel Naqueles,2,PER
Concedeinos,2,ORG
D. José,2,PER
Presta,2,PER
Padre Eric,2,PER
Agradecer,2,PER
Honra,2,LOC
Thiago Araújo Batalha,2,PER
Deus abençoe,2,MISC
Tocou,2,MISC
Liberta-nos,2,MISC
José de Ribamar Machado da Silva,2,PER
Serei,2,PER
Sebastião Félix de Moraes,2,PER
Peca,2,LOC
Felipe,2,LOC
Decidi,2,MISC
Fechadas,2,PER
arca do Senhor,2,MISC
Senhor Depois,2,PER
Credes,2,LOC
Crisógono,2,PER
Desculpa,2,PER
santo anjo,2,PER
Temos,2,MISC
arca de Deus,2,MISC
Tua família,2,MISC
Teu Jesus,2,PER
Te ama e te espera,2,MISC
Leone,2,LOC
Aguardemos,2,PER
Sempre está Tua família,2,MISC
Quermesse,2,LOC
Dai-nos,2,PER
Jonas,2,MISC
Socorre-nos,2,PER
Silvério Barbosa,2,PER
Fala,2,MISC
Maria de Nazaré Lobo Batalha,2,PER
Saul,2,PER
Deus Aqui,2,MISC
Pátria Que,2,MISC
Vem me saciar,2,MISC
Senhor Aleluia,2,PER
Foram,2,LOC
Porque só Ele,2,MISC
Daniel,2,PER
Jerônimo Plácido Barbosa,2,PER
Deseja te,2,MISC
Adelina Sintra Barbosa,2,PER
Cantar Cantar,2,LOC
Cordeiro Santo,2,LOC
Pai Santo,2,PER
Te olho,2,MISC
Arca,2,MISC
Alfeu,2,PER
Trindade Santa,2,LOC
Misericórdia,2,PER
Terceira,2,LOC
Caffarnaum,2,LOC
Nessa,2,PER
Viverei,2,LOC
Canaã,2,LOC
Aquela,2,ORG
O jejum,2,MISC
Tu a presença abraza,2,MISC
Lourenço,2,PER
Aparecida,2,LOC
Jesus Ele,2,PER
Dai-lhe,2,MISC
