Entidade,Quantidade,Tipo
Amanhã,1,PER
Domingo Inalves,1,MISC
Deus?,1,MISC
Escolhimento do Brasil,1,MISC
Alegria da Ressurreição de Cristo,1,MISC
Evangelho é o Evangelho da luta,1,MISC
Pai e Ele,1,MISC
Técimo de Fé,1,MISC
Domingo da Páscoa,1,MISC
Domingo da Divina Misericórdia,1,MISC
Santíssima Mãe de Deus,1,MISC
santa Quaresma,1,PER
Deus que o senhor,1,MISC
Evangelho de Lucas,1,MISC
Messias,1,MISC
Pai nosso,1,MISC
Novo Testamento,1,MISC
Pai pelo Filho,1,MISC
Pai me,1,MISC
Evangelho de São,1,MISC
Anunciação do Senhor,1,MISC
nosso Senhor,1,PER
homilia,1,LOC
"Deus, né, orgulhoso",1,MISC
Testemunho de Festa,1,MISC
Pensa,1,PER
Pai dos Jovens,1,MISC
"Deus, Pai",1,MISC
Fátima,1,PER
Pedro Álvaro Escabral,1,PER
José,1,PER
Paulo Miki,1,PER
Lúcia,1,PER
Francisco,1,PER
São José Operário,1,PER
Filho do Carpinteiro,1,PER
Pedro Álvares Cabral,1,PER
Cabral,1,PER
Pai Celeste,1,PER
Ensino,1,PER
Tiago Menor,1,PER
Felipe,1,PER
Evangelho tirado de São Marcos,1,MISC
Lúcia de Fátima,1,PER
dez mandamentos da lei de Deus,1,MISC
Trido Pascal,1,PER
Nicodemos,1,PER
Idade Média,1,MISC
Tempo Comum,1,MISC
Lázaro,1,PER
são pedro,1,PER
Mãe de Deus,1,PER
Técimos de Fé,1,MISC
Fernando Pessoa,1,PER
Mártir,1,PER
Evangelho desta semana é,1,MISC
Quinta-feira Santa,1,PER
São João Bosco,1,PER
domingo do Tempo Comum,1,MISC
Zbedeu,1,PER
Guilherme de Ockham,1,PER
Filho Jesus,1,PER
Virgília Pascal,1,PER
Tessemunho de Fé,1,MISC
Maria Madalena,1,PER
Virgem Maria,1,PER
